"","regpro","mrp_B_cbs","mrp_B_cbs_se","mrp_B_abc","mrp_B_abc_se","mrp_B_canpaths","mrp_B_canpaths_se","mrp_B_clsa","mrp_B_clsa_se","ua_B_cbs","ua_B_cbs_se","ua_B_abc","ua_B_abc_se","ua_B_canpaths","ua_B_canpaths_se","ua_B_clsa","ua_B_clsa_se","rake_B_cbs","rake_B_cbs_se","rake_B_abc","rake_B_abc_se","rake_B_canpaths","rake_B_canpaths_se","rake_B_clsa","rake_B_clsa_se","post_B_cbs","post_B_cbs_se","post_B_abc","post_B_abc_se","post_B_canpaths","post_B_canpaths_se","post_B_clsa","post_B_clsa_se","n_sample","n_full"
"1","BC",0.0463593629233341,0.00406694066024339,0.0261332102171848,0.00470691048579696,0.00871978922228362,0.0081603114806751,0.0550455162589868,0.032326966071697,0.0458883994126285,0.00400910555992145,0.0217627856365615,0.00481306333535966,0,0,0.0338983050847458,0.0235599523743897,0.0456050995286035,0.00418043126214946,0.0204873758253508,0.00475781967471794,0,0,0.0171203229477363,0.0119024215163756,0.0450130741246437,0.00427469078658485,0.0241538951131118,0.0058987387293213,0,0,0.0186244331814081,0.0129404113863646,59,NA
"2","AB",0.0815100083129698,0.00494594761381821,0.0307146071567028,0.00658442597531077,0.0174090093717308,0.0351318496612519,0.0760841177513826,0.044860091674891,0.0729108244531688,0.00435377609361567,0.036036036036036,0.00791138308005379,0,0,0.0882352941176471,0.0486433076799638,0.0818912791918723,0.00533958811685908,0.0238903443716169,0.00648898124291742,NA,NA,0.0514090967806333,0.0289768621975302,0.0801126033025703,0.00551037357813088,0.0273418692494068,0.00651414208455059,NA,NA,0.0593120002733547,0.0334029872260869,34,NA
"3","MB",0.0565125867896197,0.00710682257016233,0.030208839423563,0.00810000979689094,0.020209657088209,0.0546322512074129,0.0443377738508503,0.0303908730889103,0.0502127659574468,0.00637090755366288,0.0379746835443038,0.0152058880488618,NA,NA,0,0,0.0627577037880117,0.00826132238129325,0.086766731893467,0.0599218897311223,NA,NA,0,0,0.0543700543666828,0.0079867166974381,0.0650283472815031,0.0144273733446186,NA,NA,0,0,23,NA
"4","SK",0.0427174431349999,0.00621801189033455,0.0321947978769901,0.0100361423387029,0.0207023203654573,0.0539437921195743,0.150239717289569,0.142666510878622,0.0374468085106383,0.00553861070551443,0.0516129032258065,0.0177707645825329,NA,NA,0.5,0.25,0.0418437346538072,0.0070422768553002,0.0305641095792797,0.012222450889965,NA,NA,0.487019914651494,0,0.041148491950631,0.00765327383023297,0.0408321163627456,0.0140350904577544,NA,NA,0.485022225997339,0,4,NA
"5","ON",0.0445571355561517,0.00305903479459701,0.0266583806917974,0.00380814513609118,0.0119891553673621,0.00873094308620147,0.0392648908369115,0.0176949401435486,0.0419757907067552,0.0028019984954298,0.0243161094224924,0.00346679401057749,0.0126582278481013,0.00889388821431047,0.024390243902439,0.0139089255734683,0.0449563900665816,0.00314504137128228,0.0229166050795055,0.0057357907907706,0.00622250516798301,0.00446383394776521,0.0457013957310752,0.0360671222685033,0.0462213985177206,0.00350500897354325,0.0259425399733928,0.00527656255354947,0.00782791230054228,0.00568318892402524,0.0365923881018091,0.0274534529366357,123,NA
"6","ATL",0.00677722274971244,0.00180505407917941,0.0244484322618532,0.00582624530011717,0.0151535472288183,0.0172583478447653,0.0635953913645298,0.0295460542135282,0.00549954170485793,0.00158320943945861,0.0200803212851406,0.00888957287796862,0.018018018018018,0.0126253602373797,0.0612244897959184,0.02421756228256,0.00561531874049385,0.00180498482034851,0.0158381069875911,0.00992038097387388,0.0104451580895704,0.00771104555143359,0.0616802532454241,0.0295204504358437,0.00558723583509754,0.0016376337398158,0.0156756431719135,0.00799363028562622,0.0106218206668889,0.00756290792051899,0.0630111913466131,0.0266887305291737,98,NA
