"","regpro","mrp_B_cbs","mrp_B_cbs_se","mrp_B_abc","mrp_B_abc_se","ua_B_cbs","ua_B_cbs_se","ua_B_abc","ua_B_abc_se","rake_B_cbs","rake_B_cbs_se","rake_B_abc","rake_B_abc_se","rake1_B_cbs","rake1_B_cbs_se","rake1_B_abc","rake1_B_abc_se","post_B_cbs","post_B_cbs_se","post_B_abc","post_B_abc_se","n_sample","n_full"
"1","BC",0.0496699546626054,0.00449691949230463,0.0260957910803799,0.00495002182020846,0.0464256368118324,0.00426477310893386,0.0210249671484888,0.00520069209799544,0.043835356853973,0.00436692400913162,0.0215307185027095,0.00597569057084717,NA,NA,NA,NA,0.0385941337175034,0.00388012446387597,0.0253001841864869,0.00737591505049638,2434,NA
"2","AB",0.0838765377173585,0.00541744239096316,0.0284758653270807,0.00586937018621929,0.0705958549222798,0.00460949403890628,0.0318471337579618,0.00809089732942232,0.0770782591116715,0.00557239907862768,0.0211817075980722,0.00655109307720863,NA,NA,NA,NA,0.0730809080273827,0.00545395788431616,0.0228236308540906,0.00606622825188797,3088,NA
"3","MB",0.0459925395025646,0.00693364842875465,0.0281393631344416,0.00702771029105696,0.0394230769230769,0.0060342689577779,0.0296296296296296,0.0145936857674413,0.0415378159046823,0.00674132389874428,0.0690123249769431,0.0419735675696462,NA,NA,NA,NA,0.0368992416616804,0.00615248455971618,0.0496551173591266,0.0241073014982736,1040,NA
"4","SK",0.0412803317434306,0.00666243442330795,0.0335754295015742,0.0115658877088956,0.0350877192982456,0.00574444144010236,0.0610687022900763,0.0209213933918272,0.0360630301197714,0.0061627607349259,0.027435243189116,0.010759970967904,NA,NA,NA,NA,0.0353421263947899,0.00600368335024816,0.0444664982055589,0.01508957610787,1026,NA
"5","ON",0.0476963049346524,0.00337643614636438,0.0274282301891608,0.00377813401452481,0.0412725709372313,0.00291647652178447,0.0257611241217799,0.00383328579419203,0.0421818186731727,0.00316227120731369,0.0231834086542835,0.00440153546872032,NA,NA,NA,NA,0.0404353636392111,0.00323303513826535,0.0261418766516807,0.00456314690832953,4652,NA
"6","ATL",0.00665574292155733,0.00192163652602016,0.024965474770684,0.00571699001140637,0.00492368291482029,0.0015531674187644,0.0229357798165138,0.0101388818803224,0.00454710188194989,0.0015712852122112,0.0245433567942068,0.0170947201838161,NA,NA,NA,NA,0.00431511217950095,0.00141524836336028,0.0211847651234908,0.0117595489084978,2031,NA
