"","regpro","mrp_A_cbs","mrp_A_cbs_se","mrp_A_abc","mrp_A_abc_se","mrp_A_canpaths","mrp_A_canpaths_se","ua_A_cbs","ua_A_cbs_se","ua_A_abc","ua_A_abc_se","ua_A_canpaths","ua_A_canpaths_se","rake_A_cbs","rake_A_cbs_se","rake_A_abc","rake_A_abc_se","rake_A_canpaths","rake_A_canpaths_se","post_A_cbs","post_A_cbs_se","post_A_abc","post_A_abc_se","post_A_canpaths","post_A_canpaths_se","n_sample","n_full"
"1","BC",0.0241408307673021,0.00174453714547753,0.0261700408276332,0.00353910052992314,0.023881918613521,0.0108161717256086,0.02239336492891,0.00161053632908635,0.0248198558847078,0.00440210942216886,0.0193986420950533,0.00429538976233811,0.0237640255390644,0.00184098624091494,0.0203022403357141,0.00377417621363788,0.03781089900832,0.0242605972485105,0.0237601407333275,0.00187182552710418,0.0267360370331409,0.00520435487484141,0.0376727829005852,0.0257396061963271,1031,NA
"2","AB",0.0497588312691196,0.00232886468012699,0.0256519486504746,0.00399852102956667,0.0243854394658881,0.0143730967932573,0.043164785124751,0.00197944053835433,0.0286458333333333,0.00601920208214453,0.0180929095354523,0.0029474248973756,0.0521251238173935,0.00254554446169889,0.0251938554326033,0.00678180160414721,0.0198589868343353,0.00557823259369533,0.0478575320893882,0.00232886936165696,0.02502926178281,0.00601384559679357,0.0184779179237492,0.00538498233766245,2045,NA
"3","ON",0.0294704705374298,0.00117205108873909,0.0248631666028146,0.00290067577121286,0.0254225715023357,0.0148410911714619,0.026607813209026,0.00103364939248863,0.0230333097094259,0.00282383649849873,0.0229885057471264,0.00342558100165094,0.0283059150713589,0.0011766420606522,0.0200136668185669,0.00317418372078059,0.0242818511255159,0.00616747157650959,0.0291410278663646,0.00128994497468954,0.0225973193395815,0.00356923863893645,0.0279297940618976,0.00668187468961524,1914,NA
"4","ATL",0.00378038808583859,0.000808137800813651,0.0230491666562,0.00376580159601775,0.0236389844680428,0.0315228566194163,0.00311577566415218,0.000713693501164841,0.0186666666666667,0.00698917681795164,0.0157894736842105,0.00404451105690899,0.00241919898389065,0.000577931400159969,0.0148566945191337,0.00699091650249552,0.00741282513747324,0.00203130473547095,0.00335681894697909,0.000786769305493335,0.0176105503126512,0.00724161851709442,0.0110229880413079,0.00307580285218475,950,NA
