"","regpro","mrp_A_clsa","mrp_A_clsa_se","ua_A_clsa","ua_A_clsa_se","rake_A_clsa","rake_A_clsa_se","post_A_clsa","post_A_clsa_se","n_sample","n_full"
"1","BC",0.0240353464609794,0.00788836058547784,0.026284348864994,0.0055297049326757,0.0220268665310185,0.00738266836756802,0.0182309204675637,0.00472338049409119,837,NA
"2","AB",0.048309475679646,0.0131577367672281,0.0604838709677419,0.0107036295773929,0.0597547595512769,0.0211946019342548,0.0543608099813036,0.0157691398938614,496,NA
"3","MB",0.0286741079842159,0.00791536582056418,0.0296127562642369,0.00809058072237219,0.0399663299946693,0.0184774406747123,0.0310104694518548,0.0113118369641895,439,NA
"4","SK",0.0389196872662104,0.0158978421232366,0.053030303030303,0.0195048731266832,0.0255263851876527,0.00970092939951927,0.0349908593830484,0.0132713558585687,132,NA
"5","ON",0.0334096045329513,0.00652564608049214,0.0355781448538755,0.00660294690502176,0.0210526762537487,0.00391239795542783,0.0312022402147008,0.0130458141617009,787,NA
"6","ATL",0.0216645732715128,0.00644672367362116,0.0206659012629162,0.00482040508179468,0.0189127822437509,0.00740296485854978,0.0186400241135006,0.00588205696255921,871,NA
