"","regpro","mrp_C_cbs","mrp_C_cbs_se","mrp_C_abc","mrp_C_abc_se","ua_C_cbs","ua_C_cbs_se","ua_C_abc","ua_C_abc_se","rake_C_cbs","rake_C_cbs_se","rake_C_abc","rake_C_abc_se","rake1_C_cbs","rake1_C_cbs_se","rake1_C_abc","rake1_C_abc_se","post_C_cbs","post_C_cbs_se","post_C_abc","post_C_abc_se","n_sample","n_full"
"1","BC",0.296009402888568,0.00463972367217563,0.108706463360567,0.00984352482060961,0.283181357649443,0.00453501156800189,0.104446742502585,0.00983512585598607,0.29397561513894,0.00477327555120498,0.116569198847072,0.0128026655586982,0.265547898932744,0.00445375985070585,0.113304559353217,0.0115514998297148,0.265547898932744,0.00445375985070585,0.113304559353217,0.0115514998297148,9870,NA
"2","AB",0.363710568942814,0.0044360943665006,0.105525155713331,0.0121353846262015,0.334432989690722,0.00428459301773319,0.0988274706867672,0.0122139361957701,0.349713416184873,0.0044953080429773,0.110692770397222,0.0158852667868245,0.331560008919514,0.00437285044953381,0.107863993492163,0.0145996491440894,0.331560008919514,0.00437285044953381,0.107863993492163,0.0145996491440894,12125,NA
"3","MB",0.305958150105005,0.00789758328941874,0.134729242915412,0.0271371763940516,0.287309959664908,0.00797068291578865,0.145454545454545,0.0274466447318669,0.304330041909991,0.00836261724814025,0.158393699901917,0.047626455787598,0.274420669151996,0.00787939127489396,0.143325219731445,0.038894294700078,0.274420669151996,0.00787939127489396,0.143325219731445,0.038894294700078,3223,NA
"4","SK",0.27840933926112,0.00842841715772655,0.10764989040461,0.0204440779329679,0.257461344839986,0.00829115541355699,0.107594936708861,0.0246517858627836,0.277425490368208,0.00898710110957037,0.127552870143574,0.0364095610391787,0.253968694384992,0.00834159714551026,0.115044460983571,0.0286436499247341,0.253968694384992,0.00834159714551026,0.115044460983571,0.0286436499247341,2781,NA
"5","ON",0.254792651945555,0.002728278600187,0.0882972135773105,0.00684134373152023,0.238686652391149,0.00254660579665635,0.0803436078827691,0.00611034264948891,0.24644432146253,0.00267696200432452,0.0887779273998254,0.00801061747782442,0.230639105803957,0.00256163176375533,0.0871028222134807,0.00725785172069718,0.230639105803957,0.00256163176375533,0.0871028222134807,0.00725785172069718,28020,NA
"6","ATL",0.141443571780225,0.00487008524658919,0.0702784352867051,0.0153124836391934,0.127930219880065,0.00450259034056415,0.049469964664311,0.0128902251925194,0.15464015620322,0.00568629309937729,0.0407183166592645,0.0150276907768907,0.137196379228623,0.00488657789327959,0.0438641761018971,0.0142078600564706,0.137196379228623,0.00488657789327959,0.0438641761018971,0.0142078600564706,5503,NA
