"","regpro","mrp_F_cbs","mrp_F_cbs_se","ua_F_cbs","ua_F_cbs_se","rake_F_cbs","rake_F_cbs_se","rake1_F_cbs","rake1_F_cbs_se","rake2_F_cbs","rake2_F_cbs_se","n_sample","n_full","rake2_cbs_se"
"1","BC",0.0236662932724031,0.00168071998496172,0.0221700879765396,0.00159466026776174,0.0210044026371482,0.0015699354346237,0.0248217877871662,0.0023440385803269,0.0267714354328563,NA,8525,NA,0.00234389075756152
"2","AB",0.0475436374406104,0.00218448474684634,0.0425730557370927,0.00195076621144535,0.0415396800333499,0.00196588771218336,0.0505702766711277,0.00326504025154638,0.050182967661071,NA,10711,NA,0.00285675295521804
"3","MB",0.0410678647494293,0.00405432288189372,0.037914691943128,0.0037955848674185,0.0368202408106958,0.00371801237022543,0.0465419549727253,0.00670882373288747,0.0483280267525256,NA,2532,NA,0.00701429152687233
"4","SK",0.0397131413168305,0.00394504380957453,0.0357686453576865,0.00362267347096461,0.0338274879308231,0.00349853153695861,0.043663599760718,0.00659656536936001,0.0409004219889299,NA,2628,NA,0.004711469592928
"5","ON",0.0272788637304452,0.00108977469118504,0.0264351378958121,0.00102544385128816,0.0251866839976412,0.00100202011013873,0.0259369973334707,0.00105347172333092,0.0283749674899187,NA,24475,NA,0.00129405346725986
"6","ATL",0.00360597174028243,0.000781399332183851,0.0030230708035004,0.000692490903175841,0.00283029055651379,0.000673168407824151,0.00232361954590746,0.0013202499913444,0.00320791591561695,NA,6285,NA,0.000825061838324636
